timestamp,Bx,By,Bz,B_total
2026-08-18 00:00:00,20188.7,953.8,44675.92,49034.77
2026-08-18 00:01:00,20187.48,954.29,44675.69,49034.07
2026-08-18 00:02:00,20186.31,954.76,44675.71,49033.62
2026-08-18 00:03:00,20185.46,955.27,44675.63,49033.22
2026-08-18 00:04:00,20185.8,955.3,44675.79,49033.5
2026-08-18 00:05:00,20186.09,955.37,44675.76,49033.59
2026-08-18 00:06:00,20186.41,955.04,44675.91,49033.85
2026-08-18 00:07:00,20186.58,955.2,44675.76,49033.78
2026-08-18 00:08:00,20185.92,954.67,44675.8,49033.56
2026-08-18 00:09:00,20185.77,953.98,44676.05,49033.72
2026-08-18 00:10:00,20185.57,952.99,44676.38,49033.91
2026-08-18 00:11:00,20185.16,952.36,44676.5,49033.84
2026-08-18 00:12:00,20184.3,952.43,44676.41,49033.41
2026-08-18 00:13:00,20183.21,952.82,44676.38,49032.94
2026-08-18 00:14:00,20182.53,951.58,44676.59,49032.84
2026-08-18 00:15:00,20182.41,950.05,44677.14,49033.27
2026-08-18 00:16:00,20182.86,949.12,44677.55,49033.8
2026-08-18 00:17:00,20182.6,948.74,44677.47,49033.62
2026-08-18 00:18:00,20182.11,947.62,44677.64,49033.55
2026-08-18 00:19:00,20180.67,947.5,44677.65,49032.95
2026-08-18 00:20:00,20180.22,947.31,44677.63,49032.75
2026-08-18 00:21:00,20181.15,945.4,44678.09,49033.53
2026-08-18 00:22:00,20181.98,944.46,44678.38,49034.1
2026-08-18 00:23:00,20181.72,943.82,44678.25,49033.88
2026-08-18 00:24:00,20180.11,943.51,44678.18,49033.15
2026-08-18 00:25:00,20179.49,943.31,44678.14,49032.85
2026-08-18 00:26:00,20179.12,941.6,44678.59,49033.08
2026-08-18 00:27:00,20179.03,940.04,44678.98,49033.36
2026-08-18 00:28:00,20178.48,939.65,44679.12,49033.27
2026-08-18 00:29:00,20178.36,939.61,44678.98,49033.09
2026-08-18 00:30:00,20179.1,939.87,44678.82,49033.26
2026-08-18 00:31:00,20179.47,940.14,44678.5,49033.13
2026-08-18 00:32:00,20179.62,940.07,44678.28,49032.98
2026-08-18 00:33:00,20179.34,939.6,44678.11,49032.69
2026-08-18 00:34:00,20179.31,939.15,44678.21,49032.76
2026-08-18 00:35:00,20179.57,937.93,44678.46,49033.08
2026-08-18 00:36:00,20179.72,936.86,44678.7,49033.36
2026-08-18 00:37:00,20181.41,935.72,44679.02,49034.31
2026-08-18 00:38:00,20183.13,934.69,44679.09,49035.06
2026-08-18 00:39:00,20184.66,934.07,44679.0,49035.6
2026-08-18 00:40:00,20186.51,933.54,44678.91,49036.25
2026-08-18 00:41:00,20188.12,932.85,44678.76,49036.76
2026-08-18 00:42:00,20188.86,932.29,44678.57,49036.87
2026-08-18 00:43:00,20189.04,931.43,44678.47,49036.83
2026-08-18 00:44:00,20189.43,930.22,44678.79,49037.27
