OVATION Prime (2013 Version) 
Model_Run Time: 2025-12-26 16:05:00
Observation Time: 2025-12-26 15:56:00
Forecast Time:    2025-12-26 16:53:12
Hemispheric Power:     28.6
Forecast Kp:   3
 Local_time   Lat_mag       je_diff     je_mono     je_wav      je_ions 
 1.0000e-03   -5.0001e+01  2.6143e-02  5.9640e-04  7.7175e-05  1.0454e-02 
 1.0000e-03   -5.0501e+01  2.5664e-02  4.1111e-04  3.7477e-05  1.1452e-02 
 1.0000e-03   -5.1001e+01  2.5649e-02  3.0949e-04  1.6301e-05  1.2291e-02 
 1.0000e-03   -5.1501e+01  2.6313e-02  2.7606e-04  6.3465e-06  1.3026e-02 
 1.0000e-03   -5.2001e+01  2.7919e-02  2.9409e-04  2.2116e-06  1.3762e-02 
 1.0000e-03   -5.2501e+01  3.0756e-02  3.5055e-04  6.8987e-07  1.4637e-02 
 1.0000e-03   -5.3001e+01  3.5102e-02  4.3553e-04  1.9225e-07  1.5800e-02 
 1.0000e-03   -5.3501e+01  4.1169e-02  5.4031e-04  9.5323e-10  1.7400e-02 
 1.0000e-03   -5.4001e+01  4.9140e-02  6.5873e-04  3.5769e-06  1.9570e-02 
 1.0000e-03   -5.4501e+01  5.9307e-02  7.9468e-04  1.4995e-05  2.2421e-02 
 1.0000e-03   -5.5001e+01  7.2335e-02  9.6566e-04  5.2827e-05  2.6046e-02 
 1.0000e-03   -5.5501e+01  8.9481e-02  1.2187e-03  1.6313e-04  3.0536e-02 
 1.0000e-03   -5.6001e+01  1.1259e-01  1.6362e-03  4.4609e-04  3.5994e-02 
 1.0000e-03   -5.6501e+01  1.4373e-01  2.3502e-03  1.1038e-03  4.2552e-02 
 1.0000e-03   -5.7001e+01  1.8463e-01  3.5596e-03  2.4743e-03  5.0372e-02 
 1.0000e-03   -5.7501e+01  2.3615e-01  5.5459e-03  5.0526e-03  5.9645e-02 
 1.0000e-03   -5.8001e+01  2.9822e-01  8.6706e-03  9.4375e-03  7.0593e-02 
 1.0000e-03   -5.8501e+01  3.7020e-01  1.3335e-02  1.6213e-02  8.3491e-02 
 1.0000e-03   -5.9001e+01  4.5158e-01  1.9882e-02  2.5769e-02  9.8696e-02 
 1.0000e-03   -5.9501e+01  5.4240e-01  2.8464e-02  3.8152e-02  1.1667e-01 
 1.0000e-03   -6.0001e+01  6.4322e-01  3.8952e-02  5.3015e-02  1.3794e-01 
 1.0000e-03   -6.0501e+01  7.5462e-01  5.0961e-02  6.9692e-02  1.6296e-01 
 1.0000e-03   -6.1001e+01  8.7637e-01  6.4053e-02  8.7374e-02  1.9191e-01 
