time,F,B,baseline,chi
2024-05-10T00:00:00.000Z,51312.699,51312.699,51315.38825138889,5.240633425035071e-05
2024-05-10T00:01:00.000Z,51312.644,51312.644,51315.38171567268,5.335078062653521e-05
2024-05-10T00:02:00.000Z,51312.628,51312.628,51315.37513157895,5.353427840891122e-05
2024-05-10T00:03:00.000Z,51312.772,51312.772,51315.36820055325,5.059304150566785e-05
2024-05-10T00:04:00.000Z,51312.748,51312.748,51315.3613839779,5.0927907500140385e-05
2024-05-10T00:05:00.000Z,51312.932,51312.932,51315.35464551724,4.721092807357075e-05
2024-05-10T00:06:00.000Z,51312.992,51312.992,51315.34793112947,4.5910847815663376e-05
2024-05-10T00:07:00.000Z,51313.16,51313.16,51315.34121870701,4.25061717452794e-05
2024-05-10T00:08:00.000Z,51313.183,51313.183,51315.33461126374,4.192920654302372e-05
2024-05-10T00:09:00.000Z,51313.222,51313.222,51315.32824279835,4.104510037202038e-05
2024-05-10T00:10:00.000Z,51313.32,51313.32,51315.32177671233,3.900933762119707e-05
2024-05-10T00:11:00.000Z,51313.242,51313.242,51315.315240766075,4.040198830210374e-05
2024-05-10T00:12:00.000Z,51313.308,51313.308,51315.30843306011,3.8983163527596394e-05
2024-05-10T00:13:00.000Z,51313.55,51313.55,51315.301523874485,3.4132584676851074e-05
2024-05-10T00:14:00.000Z,51313.82,51313.82,51315.29459536785,2.8735981727821542e-05
2024-05-10T00:15:00.000Z,51313.936,51313.936,51315.287495238095,2.6337087913990356e-05
2024-05-10T00:16:00.000Z,51313.732,51313.732,51315.28036005435,3.0173469646481963e-05
2024-05-10T00:17:00.000Z,51313.824,51313.824,51315.27302578019,2.8237709647576482e-05
2024-05-10T00:18:00.000Z,51314.084,51314.084,51315.26550406504,2.3024416875448527e-05
2024-05-10T00:19:00.000Z,51314.124,51314.124,51315.25794451962,2.2097609269343678e-05
2024-05-10T00:20:00.000Z,51314.176,51314.176,51315.25017297297,2.0932821516993252e-05
2024-05-10T00:21:00.000Z,51314.052,51314.052,51315.2423117409,2.3196065871881168e-05
2024-05-10T00:22:00.000Z,51314.06,51314.06,51315.23442452831,2.2886469125244426e-05
2024-05-10T00:23:00.000Z,51313.949,51313.949,51315.226411843876,2.4893427023460683e-05
2024-05-10T00:24:00.000Z,51313.949,51313.949,51315.21832795699,2.4735897036905534e-05
2024-05-10T00:25:00.000Z,51313.812,51313.812,51315.21010469798,2.724542479958571e-05
2024-05-10T00:26:00.000Z,51313.574,51313.574,51315.202010723864,3.172570037867788e-05
2024-05-10T00:27:00.000Z,51313.503,51313.503,51315.194061579656,3.295440289340789e-05
2024-05-10T00:28:00.000Z,51313.376,51313.376,51315.18586631016,3.526960449637557e-05
2024-05-10T00:29:00.000Z,51313.412,51313.412,51315.17731909212,3.440150038163561e-05
2024-05-10T00:30:00.000Z,51313.196,51313.196,51315.168778666666,3.8444356973113585e-05
2024-05-10T00:31:00.000Z,51313.148,51313.148,51315.159978695076,3.920827092636626e-05
2024-05-10T00:32:00.000Z,51313.028,51313.028,51315.151183510636,4.137537280255684e-05
2024-05-10T00:33:00.000Z,51312.844,51312.844,51315.14259893758,4.479377472544934e-05
2024-05-10T00:34:00.000Z,51312.68,51312.68,51315.13409416446,4.7823984245189215e-05
2024-05-10T00:35:00.000Z,51312.248,51312.248,51315.12581324503,5.6081188527238844e-05
2024-05-10T00:36:00.000Z,51312.066,51312.066,51315.1175026455,5.946595845456046e-05
2024-05-10T00:37:00.000Z,51311.746,51311.746,51315.109025099075,6.553674274433571e-05
2024-05-10T00:38:00.000Z,51311.644,51311.644,51315.10040633246,6.735651504311026e-05
2024-05-10T00:39:00.000Z,51311.878,51311.878,51315.09158893281,6.262463601460146e-05
2024-05-10T00:40:00.000Z,51312.882,51312.882,51315.082805263155,4.2888077790093885e-05
2024-05-10T00:41:00.000Z,51314.406,51314.406,51315.07416031537,1.3020741493674201e-05
2024-05-10T00:42:00.000Z,51315.429,51315.429,51315.06557480315,7.082231948377301e-06
2024-05-10T00:43:00.000Z,51316.34,51316.34,51315.05694888598,2.5003404269785353e-05
2024-05-10T00:44:00.000Z,51316.88,51316.88,51315.048324607335,3.569470267427424e-05
2024-05-10T00:45:00.000Z,51316.912,51316.912,51315.0396875817,3.64866212652938e-05
2024-05-10T00:46:00.000Z,51316.828,51316.828,51315.031180156664,3.501546821688599e-05
2024-05-10T00:47:00.000Z,51316.812,51316.812,51315.022822685794,3.486654035770443e-05
2024-05-10T00:48:00.000Z,51317.036,51317.036,51315.01462369791,3.939151760767403e-05
2024-05-10T00:49:00.000Z,51317.412,51317.412,51315.006634590376,4.6874502555343435e-05
2024-05-10T00:50:00.000Z,51317.652,51317.652,51314.999010389605,5.1700081098305646e-05
2024-05-10T00:51:00.000Z,51317.785,51317.785,51314.99172503242,5.44338968726629e-05
2024-05-10T00:52:00.000Z,51317.761,51317.761,51314.98458549223,5.410533648590695e-05
2024-05-10T00:53:00.000Z,51317.656,51317.656,51314.9776248383,5.2194803265540064e-05
2024-05-10T00:54:00.000Z,51317.691,51317.691,51314.97097157622,5.3006527574255326e-05
2024-05-10T00:55:00.000Z,51317.792,51317.792,51314.96445935484,5.510167794044682e-05
2024-05-10T00:56:00.000Z,51318.12,51318.12,51314.95830412371,6.16135329887945e-05
2024-05-10T00:57:00.000Z,51318.328,51318.328,51314.95237065637,6.578256799788363e-05
2024-05-10T00:58:00.000Z,51318.52,51318.52,51314.94649357327,6.963870511247287e-05
2024-05-10T00:59:00.000Z,51318.536,51318.536,51314.941001283696,7.00575435956173e-05
2024-05-10T01:00:00.000Z,51318.72,51318.72,51314.9357474359,7.374563582673365e-05
2024-05-10T01:01:00.000Z,51318.688,51318.688,51314.93082714469,7.321792692198224e-05
2024-05-10T01:02:00.000Z,51318.816,51318.816,51314.92632992328,7.579997390454461e-05
2024-05-10T01:03:00.000Z,51318.884,51318.884,51314.9222375479,7.720488075102294e-05
2024-05-10T01:04:00.000Z,51319.093,51319.093,51314.91865433674,8.134760363511575e-05
2024-05-10T01:05:00.000Z,51319.289,51319.289,51314.91535923567,8.523137442032006e-05
2024-05-10T01:06:00.000Z,51319.398,51319.398,51314.91227099237,8.741570060460172e-05
2024-05-10T01:07:00.000Z,51319.375,51319.375,51314.90974459974,8.701672520685698e-05
2024-05-10T01:08:00.000Z,51319.238,51319.238,51314.90756472081,8.438941985284702e-05
2024-05-10T01:09:00.000Z,51319.304,51319.304,51314.90578580482,8.57102654253527e-05
2024-05-10T01:10:00.000Z,51319.191,51319.191,51314.90464936709,8.353032441932925e-05
2024-05-10T01:11:00.000Z,51319.536,51319.536,51314.90357142857,9.027452550857598e-05
2024-05-10T01:12:00.000Z,51319.464,51319.464,51314.902920454544,8.888411135701057e-05
2024-05-10T01:13:00.000Z,51319.66,51319.66,51314.90230769231,9.27156068458304e-05
2024-05-10T01:14:00.000Z,51319.916,51319.916,51314.90163350126,9.771755063576298e-05
2024-05-10T01:15:00.000Z,51320.416,51320.416,51314.90117232704,0.00010747029706711539
2024-05-10T01:16:00.000Z,51320.76,51320.76,51314.900991206036,0.00011417753285679278
2024-05-10T01:17:00.000Z,51320.764,51320.764,51314.90182559599,0.00011423922087851914
2024-05-10T01:18:00.000Z,51321.22,51321.22,51314.9038320802,0.00012308642223067597
2024-05-10T01:19:00.000Z,51321.531,51321.531,51314.90692866083,0.00012908668719565923
2024-05-10T01:20:00.000Z,51321.765,51321.765,51314.910535,0.00013357647764622975
2024-05-10T01:21:00.000Z,51321.39,51321.39,51314.91415230961,0.0001261981589049695
2024-05-10T01:22:00.000Z,51321.175,51321.175,51314.91770074813,0.00012193918517743275
2024-05-10T01:23:00.000Z,51321.359,51321.359,51314.92124034869,0.0001254559004612821
2024-05-10T01:24:00.000Z,51321.228,51321.228,51314.924955223876,0.00012283063419904648
2024-05-10T01:25:00.000Z,51320.804,51320.804,51314.92879503105,0.00011449309405476099
2024-05-10T01:26:00.000Z,51321.664,51321.664,51314.93246650125,0.00013118079231898129
2024-05-10T01:27:00.000Z,51321.956,51321.956,51314.93627261462,0.00013679696196219527
2024-05-10T01:28:00.000Z,51321.456,51321.456,51314.94016955445,0.00012697725894286578
2024-05-10T01:29:00.000Z,51321.26,51321.26,51314.944410383185,0.00012307505521801549
2024-05-10T01:30:00.000Z,51321.536,51321.536,51314.94878518519,0.0001283683404301407
2024-05-10T01:31:00.000Z,51321.712,51321.712,51314.95325030827,0.00013171111466797446
2024-05-10T01:32:00.000Z,51321.71,51321.71,51314.957626847296,0.00013158684065970585
2024-05-10T01:33:00.000Z,51322.027,51322.027,51314.961865928664,0.00013768175624482976
2024-05-10T01:34:00.000Z,51322.265,51322.265,51314.96598157248,0.00014223956477218998
2024-05-10T01:35:00.000Z,51322.484,51322.484,51314.970474846625,0.00014641975010109342
2024-05-10T01:36:00.000Z,51322.621,51322.621,51314.97510906863,0.00014899921348719103
2024-05-10T01:37:00.000Z,51322.816,51322.816,51314.97973194614,0.0001527091717621254
